ID_Cliente,Nome,Idade,Genero,Localizacao,Status_Fidelidade
1,Carlos Almeida,49,Masculino,Salvador,Inativo
2,Maria Almeida,55,Masculino,Curitiba,Novo
3,Ana Oliveira,50,Masculino,Curitiba,Novo
4,Ana Santos,43,Feminino,São Paulo,Novo
5,Paulo Pereira,58,Masculino,São Paulo,Ativo
6,Ana Souza,24,Feminino,Curitiba,VIP
7,Ana Fernandes,43,Feminino,Belo Horizonte,Novo
8,Ana Costa,18,Feminino,Rio de Janeiro,Novo
9,Ana Fernandes,69,Masculino,Rio de Janeiro,Novo
10,Pedro Silva,36,Masculino,Rio de Janeiro,Novo
11,Pedro Pereira,28,Masculino,São Paulo,Ativo
12,Ana Oliveira,53,Masculino,Curitiba,VIP
13,Maria Souza,38,Masculino,Salvador,Ativo
14,Maria Oliveira,31,Feminino,Rio de Janeiro,Novo
15,João Pereira,48,Masculino,Rio de Janeiro,Inativo
16,Maria Pereira,31,Feminino,Belo Horizonte,VIP
17,Carlos Souza,46,Feminino,Belo Horizonte,Inativo
18,Camila Costa,30,Feminino,Rio de Janeiro,VIP
19,Carlos Souza,34,Masculino,Curitiba,Novo
20,João Fernandes,21,Feminino,Salvador,Inativo
21,Pedro Souza,36,Masculino,Curitiba,Novo
22,Camila Costa,61,Masculino,Rio de Janeiro,Novo
23,Carlos Silva,55,Masculino,São Paulo,Novo
24,Ana Fernandes,65,Masculino,Belo Horizonte,Inativo
25,Paulo Santos,21,Masculino,São Paulo,Inativo
26,Ana Souza,65,Feminino,Belo Horizonte,VIP
27,Ana Almeida,62,Masculino,Belo Horizonte,Ativo
28,Camila Lima,43,Masculino,Salvador,Novo
29,Juliana Costa,22,Masculino,Rio de Janeiro,Novo
30,João Oliveira,41,Masculino,Curitiba,VIP
31,Lucas Oliveira,37,Masculino,Belo Horizonte,Novo
32,Ana Silva,57,Masculino,Rio de Janeiro,Inativo
33,Pedro Santos,45,Feminino,Salvador,Ativo
34,Ana Santos,28,Masculino,São Paulo,VIP
35,Juliana Almeida,52,Masculino,São Paulo,Novo
36,Carlos Silva,20,Masculino,Salvador,Novo
37,Paulo Souza,65,Masculino,Salvador,Novo
38,Paulo Oliveira,67,Feminino,Salvador,Inativo
