ID_Venda;Data_Venda;Produto;Categoria;Quantidade;Preco_Unitario;Desconto;Cliente;Cidade;Estado;Forma_Pagamento;Valor_Total
1;2024-09-07;Mouse;Eletrônicos;10;4874.08;0.22;Amy Anthony;Port Malloryport;Nebraska;Pix;38017.82
2;2024-09-11;Mouse;Acessórios;9;501.58;0.09;Anthony Miller;North Peter;Arizona;Cartão de Débito;4107.94
3;2023-10-07;Notebook;Eletrônicos;6;3488.18;0.2;Mrs. Lisa Horne;North Petermouth;Oklahoma;Boleto;16743.26
4;2024-08-10;Monitor;Acessórios;8;91.7;0.13;Luis Mendez;Christinemouth;Connecticut;Boleto;638.23
5;2023-03-27;Headset;Eletrônicos;5;600.26;0.12;Zachary Rogers;Maryland;North Dakota;Boleto;2641.14
6;2024-01-13;Mouse;Acessórios;7;1188.62;0.05;Walter Caldwell;Jamesmouth;Idaho;Cartão de Débito;7904.32
7;2022-12-26;Headset;Eletrônicos;5;295.55;0.18;Bradley White;New Rachelberg;Oklahoma;Pix;1211.76
8;2023-10-15;Notebook;Acessórios;2;3537.37;0.12;Jacqueline Watts;West Benjamin;Hawaii;Cartão de Crédito;6225.77
9;2024-09-28;Smartphone;Eletrônicos;9;1572.75;0.05;Michael Taylor;West Matthewfurt;Nevada;Pix;13447.01
10;2023-01-03;Teclado;Eletrônicos;5;809.7;0.04;Samantha Johnson;Reneemouth;Hawaii;Cartão de Crédito;3886.56
11;2024-02-24;Smartphone;Acessórios;6;4553.32;0.23;Kyle Thomas;North Carolyn;Louisiana;Cartão de Crédito;21036.34
12;2023-07-03;Teclado;Acessórios;9;791.72;0.14;Alexander Holmes;Lake Garyhaven;Vermont;Cartão de Crédito;6127.91
13;2024-10-01;Monitor;Acessórios;6;2493.17;0.07;Christopher Cox;Mendeztown;Illinois;Cartão de Crédito;13911.89
14;2024-04-13;Teclado;Eletrônicos;5;2894.14;0.11;Robert Bruce;Willieburgh;California;Boleto;12878.92
15;2024-08-05;Headset;Acessórios;6;2541.65;0.19;Laurie Peters;Bishopbury;Wyoming;Boleto;12352.42
16;2023-11-05;Smartphone;Eletrônicos;1;458.53;0.03;Deborah Le;Claireshire;Connecticut;Pix;444.77
17;2023-03-02;Headset;Eletrônicos;7;2694.14;0.16;Michael Graham;Annmouth;Hawaii;Pix;15841.54
18;2024-10-31;Tablet;Acessórios;3;162.46;0.24;Steven Hall;West Benjamin;Delaware;Cartão de Débito;370.41
19;2023-09-10;Headset;Acessórios;2;3913.32;0.13;Charles Saunders DDS;Beardfort;North Carolina;Boleto;6809.18
20;2022-11-28;Tablet;Eletrônicos;6;1732.79;0.15;Joseph Campbell;Port Kevinshire;Tennessee;Pix;8837.23
21;2024-08-06;Mouse;Acessórios;4;3780.56;0.12;Patrick Palmer;New Julieport;Arkansas;Boleto;13307.57
22;2023-07-17;Monitor;Acessórios;2;4823.61;0.26;Katherine Summers;East Matthew;Minnesota;Cartão de Débito;7138.94
23;2024-04-21;Headset;Eletrônicos;1;3361.48;0.04;Alexander Hurley;Rossstad;Illinois;Boleto;3227.02
24;2022-12-01;Teclado;Eletrônicos;3;4059.82;0.21;Keith Brooks;Ramirezborough;New Jersey;Cartão de Crédito;9621.77
25;2023-02-25;Headset;Eletrônicos;10;3044.86;0.28;Stephanie Robinson DVM;West Lisa;Maine;Cartão de Crédito;21922.99
26;2024-01-01;Tablet;Eletrônicos;4;1857.15;0.26;William Mason;Stevenland;South Dakota;Cartão de Crédito;5497.16
27;2024-06-02;Teclado;Eletrônicos;8;3592.09;0.01;Kathleen Thomas;North Barry;Hawaii;Pix;28449.35
28;2024-01-30;Smartphone;Acessórios;3;966.42;0.09;Lisa Phelps;Davidfort;California;Pix;2638.33
29;2024-09-05;Teclado;Eletrônicos;8;3548.96;0.17;Gregory Myers;West Meghanbury;Nevada;Boleto;23565.09
30;2024-05-13;Tablet;Eletrônicos;10;319.64;0.13;Stacey Thompson;Bridgesland;Rhode Island;Cartão de Crédito;2780.87
31;2022-12-11;Mouse;Acessórios;5;1372.11;0.28;Jessica Alexander;New Brian;Arkansas;Cartão de Débito;4939.6
32;2024-07-20;Notebook;Acessórios;7;1255.45;0.05;Daniel Novak;New Michaelburgh;Montana;Pix;8348.74
33;2024-10-25;Mouse;Eletrônicos;5;1294.9;0.07;Ashley Randolph;Cesarmouth;Idaho;Pix;6021.28
34;2024-09-22;Monitor;Eletrônicos;10;2155.2;0.18;Charles Mann;Crosshaven;Delaware;Cartão de Crédito;17672.64
35;2024-05-16;Notebook;Eletrônicos;5;4758.66;0.19;Brian Davis;West Pedro;Wisconsin;Boleto;19272.57
36;2024-05-04;Headset;Acessórios;10;3576.37;0.27;Veronica Jones;Wademouth;Georgia;Cartão de Débito;26107.5
37;2024-04-05;Smartphone;Acessórios;7;2005.94;0.21;Betty Allen;Patrickside;Tennessee;Cartão de Débito;11092.85
38;2024-08-24;Tablet;Acessórios;8;1990.79;0.17;Mark Watkins;Karenfort;Kansas;Cartão de Débito;13218.85
